[2024-02-22 22:56:40,608: INFO: common: created directory at: artifacts]
[2024-02-22 22:56:46,893: INFO: builder_impl: Assets written to: /tmp/tmp8mksy1a_/model/data/model/assets]
[2024-02-22 23:09:55,961: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-22 23:09:55,962: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 23:09:55,963: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 23:09:55,963: INFO: common: created directory at: artifacts]
[2024-02-22 23:09:55,963: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 23:09:55,963: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-22 23:09:55,963: INFO: data_ingestion: Download url https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3]
[2024-02-22 23:10:02,799: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into artifacts/data_ingestion/data.zip]
[2024-02-22 23:10:03,185: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<]
[2024-02-22 23:10:03,185: INFO: main: >>>>>> stage Prepare Base Model stage started <<<<<<]
[2024-02-22 23:10:03,186: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 23:10:03,186: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 23:10:03,186: INFO: common: created directory at: artifacts]
[2024-02-22 23:10:03,187: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-02-22 23:10:04,115: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-02-22 23:10:04,309: INFO: main: >>>>>> stage Prepare Base Model stage completed <<<<<<]
[2024-02-22 23:10:04,309: INFO: main: >>>>>> stage Training stage started <<<<<<]
[2024-02-22 23:10:04,310: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 23:10:04,311: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 23:10:04,311: INFO: common: created directory at: artifacts]
[2024-02-22 23:10:04,311: INFO: common: created directory at: artifacts/training]
[2024-02-22 23:10:09,560: INFO: main: >>>>>> stage Training stage completed <<<<<<]
[2024-02-22 23:10:09,560: INFO: main: >>>>>> stage Evaluation stage started <<<<<<]
[2024-02-22 23:10:09,561: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 23:10:09,561: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 23:10:09,561: INFO: common: created directory at: artifacts]
[2024-02-22 23:10:12,257: INFO: builder_impl: Assets written to: /tmp/tmprphwz650/model/data/model/assets]
[2024-02-22 23:10:16,136: INFO: main: >>>>>> stage Evaluation stage completed <<<<<<]
[2024-02-22 23:30:16,560: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-02-22 23:30:16,562: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-22 23:30:16,563: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-22 23:30:16,564: INFO: common: created directory at: artifacts]
[2024-02-22 23:30:16,564: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-22 23:30:16,564: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-22 23:30:16,564: INFO: data_ingestion: Download url https://drive.google.com/uc?/export=download&id=1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3]
[2024-02-22 23:30:23,550: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into artifacts/data_ingestion/data.zip]
[2024-02-22 23:30:23,933: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<]
[2024-02-22 23:30:23,934: INFO: main: >>>>>> stage Prepare Base Model stage started <<<<<<]
